id,added,manager,contragent,task,confirmed,master,done,canceled,userc,more,status,location
234,10.04.2023 09:28,5195792294,304801598,canon 232,10.04.2023 09:50,563934644,10.04.2023 16:06,,,,3,
235,10.04.2023 09:33,5195792294,308931085,"canon 269
Текст клиента: Данный принтер, мы меняли барабан и т.д , снова так печатает , последние 2-3 заправки делаем исключительно у Вас",12.04.2023 10:18,596759592,12.04.2023 11:08,,,"Мастер Собитов Рахматилла принял заявку 10.04.2023 09:50.
 10.04.2023 10:23отказался от выполнения",3,
236,10.04.2023 10:01,5195792294,304411989,"Заберите пожалуйста у меня договор 
установка драйвера canon 6030  
Заправки hp 1005
 canon mf 3010",11.04.2023 09:27,432066117,11.04.2023 13:58,,,,3,
237,10.04.2023 10:04,5195792294,309159499,"Hp m 428-3
hp 135-1

 Собитов Рахматилла дополнил(а) заявку...
.",11.04.2023 04:12,563934644,11.04.2023 12:43,,,,3,
238,10.04.2023 10:14,5195792294,203360280,"Заправка картриджей 
728-3
725-3
505-1

 Ахмедова Шаира дополнил(а) заявку...
Заявку отменяют 
картриджи привезли в офис",11.04.2023 13:28,5057169611,11.04.2023 13:36,,,,3,
239,10.04.2023 10:17,5195792294,306212166,"Филиал Мегапланет
Xerox phaser 3020-1",10.04.2023 10:28,563934644,10.04.2023 17:30,,,,3,
240,10.04.2023 10:54,5195792294,305440557,canon mf 3010-1 застряла бумага..если на месте нельзя отремонтировать нужно забрать в офис,10.04.2023 11:23,563934644,10.04.2023 16:27,,,,3,
241,10.04.2023 10:58,5195792294,304795400,2 шт Canon MF3010,10.04.2023 11:07,432066117,10.04.2023 15:55,,,,3,
242,10.04.2023 11:11,5195792294,205549984,"Замена ЕК
057 - 7
737 - 3
226 - 4
728-2",10.04.2023 14:55,301781583,10.04.2023 15:36,,,,3,
243,10.04.2023 11:25,5195792294,306801374,"Canon mf 421+1 нов картридж 
Canon mf 3010",11.04.2023 11:10,563934644,11.04.2023 17:04,,,,3,
244,10.04.2023 11:30,821636275,202099756,"Заказчик: Smart - Markaz 7
Номер заявки: 000000050424
Вид заявки: Заправка принтера*
Телефон инициатора: 941604848
Инициатор: Миржалол
Тема заявки: Заправка принтера*
Задача (сокр): Заправка принтера

 Ким Александр дополнил(а) заявку...
Заявка выполнена Рахматом.",10.04.2023 16:05,563934644,10.04.2023 16:06,,,,3,
245,10.04.2023 11:31,821636275,202099756,"Заказчик: Fayzobod RС
Номер заявки: 000000050428
Вид заявки: Заправка принтера*
Телефон инициатора: 935900194
Инициатор: Джураев Эркин
Тема заявки: пиринтир ишламаябди
Задача (сокр): принтир кора чикарвотди",10.04.2023 11:40,821636275,10.04.2023 15:50,,,,3,
246,10.04.2023 11:30,5195792294,204113594,canon mf 4018-2,10.04.2023 17:03,821636275,10.04.2023 17:42,,,,3,
247,10.04.2023 11:32,821636275,202099756,"Заказчик: РЦ Куйлюк
Номер заявки: 000000050429
Вид заявки: Заправка принтера*
Телефон инициатора: 994365255
Инициатор: Даврон
Тема заявки: Заправка картриджей СРОЧНО
Задача (сокр): Заправка картриджей СРОЧНО",10.04.2023 11:44,5057169611,10.04.2023 13:38,,,,3,
248,10.04.2023 12:25,5195792294,207240048,"Замена ЕК 
057 - 7",10.04.2023 14:54,301781583,10.04.2023 15:51,,,,3,
249,10.04.2023 12:33,5195792294,206982240,canon mf 216 посередине большие полосы,11.04.2023 09:29,432066117,11.04.2023 11:53,,,,3,
250,10.04.2023 12:36,5195792294,207136784,"Canon 6140 принтер не работает
https://maps.google.com/maps?q=41.322001,69.248498&ll=41.322001,69.248498&z=16

 Ахмедова Шаира дополнил(а) заявку...
+998900236023
Ребята примите пожалуйста..почему то это заявка выпала с бота",,,,10.04.2023 14:05,5195792294,картриджи привезли в офис,4,
251,10.04.2023 13:07,5195792294,302855438,Текст клиента:У нас такая проблема: не можем продлить касперского и ещё на 2-х компьютерах истекает срок лицензии Windows,10.04.2023 13:11,685927410,11.04.2023 11:41,,,,3,
252,10.04.2023 13:10,5195792294,308939328,canon 6000 и hp 477,10.04.2023 16:02,432066117,11.04.2023 15:37,,,,3,
253,10.04.2023 15:32,5195792294,304700992,"737 -4шт.
canon 443-1

 Ахмедова Шаира дополнил(а) заявку...
Заявка на 11,04,2023",11.04.2023 09:18,821636275,11.04.2023 12:08,,,,3,
254,10.04.2023 16:29,5195792294,201103878,"hp lj 1020 (полоса с правой стороны)
(будут заправки в др кабинетах)",11.04.2023 11:53,596759592,11.04.2023 11:54,,,,3,
255,10.04.2023 18:16,5195792294,204753470,"1) Canon - LBP6000B
2) Canon - LBP2900
3) Canon - MF232w
4) HP - модель не знаю",11.04.2023 09:32,432066117,13.04.2023 11:22,,,,3,
256,11.04.2023 04:09,563934644,309882907,"Заправка цветных (045)-2 комплекта
И черно белых (057)-3шт",11.04.2023 04:11,563934644,11.04.2023 11:11,,,,3,
257,11.04.2023 09:27,5195792294,200638670,"Заправка картриджей 3010
canon 411+1нов картридж 
+ кабель usb 3 шт",12.04.2023 14:00,563934644,12.04.2023 18:13,,,,3,
258,11.04.2023 09:28,5195792294,201177683,проблема с сеткой,11.04.2023 16:31,685927410,11.04.2023 19:04,,,,3,
259,11.04.2023 09:33,5195792294,306799489,"Каррифур
Караташ медиопарк (склад) и (офис)
Canon 325-2
+998977811196",11.04.2023 11:10,563934644,11.04.2023 17:02,,,,3,
260,11.04.2023 09:55,5195792294,304927836,нет связи с интернетом и проблема с excel,11.04.2023 11:41,685927410,11.04.2023 12:18,,,,3,
261,11.04.2023 09:56,5195792294,206642759,"Canon mf 244
Canon mf 3010",11.04.2023 12:09,821636275,11.04.2023 14:19,,,,3,
262,11.04.2023 10:01,5195792294,207157284,"ЕК
canon mf 3010-2",11.04.2023 13:00,301781583,11.04.2023 16:12,,,,3,
263,11.04.2023 10:05,5195792294,302863222,Canon MF 443 - 5,11.04.2023 10:13,5057169611,11.04.2023 12:29,,,,3,
264,11.04.2023 10:11,5195792294,302762364,"Заправка картриджей canon 6020 ...2900

 Ким Александр дополнил(а) заявку...
/start",12.04.2023 15:29,432066117,13.04.2023 08:38,,,,3,
265,11.04.2023 11:13,5195792294,204065852,"Замена ЕК
726-2
728-1
737-1
505*3 (1 брак)
057-7 (3 шт брак)
226-3
435*-1
435А-1",11.04.2023 12:59,301781583,11.04.2023 15:57,,,,3,
266,11.04.2023 11:59,5195792294,207013867,"Заправка Canon C3222
Заберите пожалуйста   у Ани чернила для них",11.04.2023 13:57,432066117,13.04.2023 23:53,,,,3,
267,11.04.2023 12:34,5195792294,207181106,"Canon mf211 - 1 
Canon 3010 - 1
249-1
canon 4700",11.04.2023 13:25,5057169611,12.04.2023 17:55,,,,3,
268,11.04.2023 12:37,5195792294,308352839,F\Офис возле нас Автосалон Alfa romeo canon mf 3010-3,11.04.2023 13:27,5057169611,11.04.2023 16:56,,,,3,
269,11.04.2023 14:17,821636275,202099756,"Заказчик: ХК Куйлюк
Номер заявки: 000000050491
Вид заявки: Заправка принтера*
Телефон инициатора: 901355058
Инициатор: Иброхим
Тема заявки: ремонт принтер
Задача (сокр): ремонт принтер",11.04.2023 14:35,5057169611,11.04.2023 16:01,,,,3,
270,11.04.2023 14:19,821636275,202099756,"Заказчик: Fayzobod RС
Номер заявки: 000000050492
Вид заявки: Заправка принтера*
Телефон инициатора: 935900194
Инициатор: Эркин
Тема заявки: принтерни ремонт килиш керак
Задача (сокр): принтерни ремонт килиш керак",11.04.2023 14:19,821636275,11.04.2023 16:49,,,,3,
271,12.04.2023 07:47,821636275,202099756,"Заказчик: Korzinka - Markaz 5
Номер заявки: 000000050503
Вид заявки: Заправка принтера*
Телефон инициатора: 977676477
Инициатор: Спиридонова Руниза
Тема заявки: Запрвка принетера
Задача (сокр): Добрый вечер прошу вас заправить принтеры в кабинете Зав.мага и в кабинете Ст.кассира , кабинет тавароведа - 2 маленьких  , 1- большой .
Ps:пасибо",12.04.2023 07:57,821636275,12.04.2023 10:45,,,,3,
272,12.04.2023 07:48,821636275,202099756,"Заказчик: Korzinka - Yangiobod
Номер заявки: 000000050507
Вид заявки: Заправка принтера*
Телефон инициатора: 712078071
Инициатор: Дониёр
Тема заявки: Необходимо заправка принтера.
Задача (сокр): Необходимо заправка принтера.",12.04.2023 08:10,5057169611,12.04.2023 10:13,,,,3,
273,12.04.2023 07:48,821636275,202099756,"Заказчик: Korzinka - Yunusobod
Номер заявки: 000000050510
Вид заявки: Заправка принтера*
Телефон инициатора: 337005054
Инициатор: Азийма
Тема заявки: А3  принтер не работает.
Задача (сокр): Здравствуйте
СРОЧНО!!!!
Сегодня доставили принтер из ремонта. На команду печать не реагирует. Просим обеспечить явку специалиста",12.04.2023 10:35,821636275,12.04.2023 10:45,,,,3,
274,12.04.2023 07:58,821636275,202099756,"Заказчик: Korzinka - Elbek
Номер заявки: 000000050517
Вид заявки: Заправка принтера*
Телефон инициатора: 935154485
Инициатор: Улугбек
Тема заявки: Заправка принтер
Задача (сокр): Заправка принтер",12.04.2023 08:20,5057169611,12.04.2023 10:46,,,,3,
275,12.04.2023 08:15,821636275,202099756,"Заказчик: Korzinka - Bunyodkor
Номер заявки: 000000050519
Вид заявки: Заправка принтера*
Телефон инициатора: 940505400
Инициатор: Жамшид
Тема заявки: Надо заправит картридж принтера
Задача (сокр): Надо заправит картридж принтера у стар. кассира",12.04.2023 08:34,563934644,12.04.2023 13:12,,,,3,
276,12.04.2023 08:21,5195792294,305088044,"Canon LBP6030B/6040/6018L -1 картридж
По адресу: Учтепинский район, ул. Шайхзода 1А. ТЦ ""Атлас Мебель"" 
Магазин называется Хилдинг Андерс, но он относится к Азбуке Дома. Два салона рядом стоят.",12.04.2023 08:55,563934644,12.04.2023 13:12,,,,3,
277,12.04.2023 08:24,5195792294,207240048,"Замена ЕК
505-7
057-2
1 принтер на ремонт (возможно печка)",12.04.2023 10:31,301781583,12.04.2023 11:58,,,,3,
278,12.04.2023 08:25,5195792294,300875636,"canon MF4018-/ canon 6030/ canon 2900
Epson l805-1комплект чернила китай",12.04.2023 10:16,596759592,12.04.2023 10:18,,,,3,
279,12.04.2023 08:26,5195792294,205529921,"Текст клиента: Заправка картридж, сетевой фильтр 1.5 или 3 м, без проводная мышка",14.04.2023 09:26,,,18.04.2023 08:03,5195792294,Не могут найти человека кто давал заявку,4,
280,12.04.2023 08:35,563934644,301878322,"Заправка картриджей
Canon 6030-2шт",12.04.2023 08:42,563934644,12.04.2023 13:12,,,,3,
281,12.04.2023 09:11,821636275,202099756,"Заказчик: Korzinka - Riyoziy
Номер заявки: 000000050522
Вид заявки: Заправка принтера*
Телефон инициатора: 994726446
Инициатор: Нозимхон
Тема заявки: Ремонт принтера
Задача (сокр): Принтер не печатает",12.04.2023 09:26,5057169611,12.04.2023 12:16,,,,3,
282,12.04.2023 09:12,821636275,202099756,"Заказчик: Korzinka - Qoratosh
Номер заявки: 000000050523
Вид заявки: Заправка принтера*
Телефон инициатора: 972050709
Инициатор: Акбар
Тема заявки: Принтер не работает
Задача (сокр): Принтер не работает и не печатает у комната Зав склада.
Прошу отправить марстера",12.04.2023 11:28,5057169611,12.04.2023 14:40,,,,3,
283,12.04.2023 09:48,821636275,202099756,"Заказчик: Korzinka - Dombirobod
Номер заявки: 000000050525
Вид заявки: Заправка принтера*
Телефон инициатора: 998563364
Инициатор: Омонбек (зав.склад)
Тема заявки: Заправка катирджа
Задача (сокр): Добрый день!!!
Просим заправит катриджа",12.04.2023 10:44,821636275,12.04.2023 12:31,,,,3,
284,12.04.2023 09:52,5195792294,207002342,"hp1102-2  нов картриджа
сanon 453-2 нов картриджа",12.04.2023 10:06,563934644,13.04.2023 16:12,,,,3,
285,12.04.2023 10:43,821636275,202099756,"Заказчик: РЦ Redtag(RDC)
Номер заявки: 000000050527
Вид заявки: Заправка принтера REDTAG*
Телефон инициатора: 909200095
Инициатор: Aziz
Тема заявки: Заправка принтера
Задача (сокр): Заправка 3-х картриджей",12.04.2023 10:43,821636275,12.04.2023 18:06,,,,3,
286,12.04.2023 11:31,5195792294,306827563,"canon 443-10
canon 420-1",13.04.2023 17:37,821636275,13.04.2023 17:37,,,,3,
287,12.04.2023 11:34,5195792294,204877625,"hp1010
hp1020",13.04.2023 08:49,5057169611,13.04.2023 12:31,,,,3,
288,12.04.2023 12:31,394005,205040829,компы..профилактика+ смазкак кулеров- 4 компа срочно нужно сейчас,12.04.2023 12:35,685927410,13.04.2023 12:03,,,,3,
289,12.04.2023 12:35,821636275,202099756,"Заказчик: ХК Куйлюк
Номер заявки: 000000050537
Вид заявки: Заправка принтера*
Телефон инициатора: 935238223
Инициатор: Нодир
Тема заявки: Заправка принтера*
Задача (сокр): Надо Заправка картридж",12.04.2023 12:44,821636275,13.04.2023 15:23,,,,3,
290,12.04.2023 12:49,5195792294,207141115,"Замена ЕК 
226-4
057-4
настроить 2-х стороннюю печать",13.04.2023 10:39,301781583,13.04.2023 11:11,,,,3,
291,12.04.2023 13:46,5195792294,301155004,"1. Canon 3010
2. HP  M113

 Ахмедова Шаира дополнил(а) заявку...
71 276 76 74",13.04.2023 10:34,596759592,13.04.2023 10:36,,,,3,
292,12.04.2023 13:51,5195792294,300071434,"Новза 
Canon mf 3010 -1 застряла бумага 
930013038 Камилла",14.04.2023 16:43,5057169611,18.04.2023 18:33,,,,3,
293,12.04.2023 14:04,5195792294,206937019,"canon pixma g3420 (Чернила Canon INK Botll  GL-490 BK EMB оригинал . только черный цвет- 5 шт)

 Ахмедова Шаира дополнил(а) заявку...
+998911643765 Равшан",12.04.2023 15:28,432066117,13.04.2023 11:21,,,,3,
294,12.04.2023 14:21,821636275,202099756,"Заказчик: Fayzobod RС
Номер заявки: 000000050544
Вид заявки: Заправка принтера*
Телефон инициатора: 970022219
Инициатор: Umar Abdunosirov
Тема заявки: Очистка принтера.
Задача (сокр): Надо польностю очистить принтер. Принтер распечатает пустой лист.",12.04.2023 14:30,5057169611,12.04.2023 16:35,,,,3,
295,12.04.2023 16:21,5195792294,305480096,HP 401- 4 и Canon 3010 - 4,13.04.2023 10:36,596759592,13.04.2023 12:03,,,,3,
296,12.04.2023 17:54,5195792294,306214930,"Текст клиента:Canon MF742/744 C цветной, у нас не печатает скрип какой то",14.04.2023 11:26,563934644,14.04.2023 11:26,,,"Мастер Собитов Рахматилла принял заявку 14.04.2023 09:46.
 14.04.2023 11:26отказался от выполнения",3,
297,13.04.2023 15:23,5195792294,305830729,canon mf 3010-2,14.04.2023 11:34,563934644,14.04.2023 12:26,,,,3,
298,14.04.2023 08:06,821636275,202099756,"Заказчик: Korzinka - Ziyolilar
Номер заявки: 000000050643
Вид заявки: Заправка принтера*
Телефон инициатора: 935508496
Инициатор: Турсунов Акбар
Тема заявки: Картридж сломался
Задача (сокр): Здравствуйте, в комноте товараведа сломался картридж,плохо печатает  
  Спасибо",14.04.2023 08:07,821636275,14.04.2023 09:55,,,,3,
299,14.04.2023 08:06,821636275,202099756,"Заказчик: Korzinka - Shahriston
Номер заявки: 000000050651
Вид заявки: Заправка принтера*
Телефон инициатора: 977435979
Инициатор: Исмоилов Жахонгир
Тема заявки: заправит кардтриж
Задача (сокр): Д.Д.
заправит картридж в комнате ГЛ. товароведом. Прошу срочно отправьте специалист .",14.04.2023 09:01,5057169611,14.04.2023 09:56,,,,3,
300,14.04.2023 09:25,5195792294,307490344,"CANON 443 -1
canon 2900-2
epson l 805",14.04.2023 09:50,563934644,14.04.2023 11:26,,,,3,
301,14.04.2023 09:28,821636275,202099756,"Заказчик: Korzinka - Qorasuv
Номер заявки: 000000050653
Вид заявки: Заправка принтера*
Телефон инициатора: 935507213
Инициатор: Гулноза
Тема заявки: Заправка принтера
Задача (сокр): Добрый день.В комнате завмага надо заправить принтер.",14.04.2023 09:55,5057169611,14.04.2023 11:39,,,,3,
302,14.04.2023 09:47,5195792294,308352839,"canon 643- недавно заменили картридж (желтый) печатает расплывчато. 
Хотят заменить все остальные цвета.",17.04.2023 09:59,432066117,18.04.2023 11:00,,,,3,
303,14.04.2023 10:07,5195792294,303169768,"Склад canon 223-1
тел +998935022514",14.04.2023 11:33,563934644,14.04.2023 12:26,,,,3,
304,14.04.2023 10:08,5195792294,303169768,"офис
сanon 351-2
+998935022524",18.04.2023 12:15,432066117,18.04.2023 18:59,,,,3,
305,14.04.2023 10:42,821636275,202099756,"Заказчик: Fayzobod RС
Номер заявки: 000000050664
Вид заявки: Заправка принтера*
Телефон инициатора: 935900958
Инициатор: Botir
Тема заявки: Заправка принтера
Задача (сокр): Заправка принтера",14.04.2023 10:43,821636275,14.04.2023 16:51,,,,3,
306,14.04.2023 11:18,821636275,202099756,"Заказчик: Fayzobod RС
Номер заявки: 000000050664
Вид заявки: Заправка принтера*
Телефон инициатора: 935900958
Инициатор: Botir
Тема заявки: Заправка принтера
Задача (сокр): Заправка принтера",14.04.2023 11:19,821636275,,14.04.2023 11:21,821636275,Повторная заявка.,4,
307,14.04.2023 11:19,821636275,202099756,"Заказчик: Файзабад RedTag
Номер заявки: 000000050670
Вид заявки: Заправка принтера REDTAG*
Телефон инициатора: 938691366
Инициатор: Голубева Евгения
Тема заявки: Заправка Принтеров
Задача (сокр): Заправка принтеров в маркете",14.04.2023 11:49,5057169611,14.04.2023 16:09,,,,3,
308,14.04.2023 11:22,821636275,202099756,"Заказчик: Korzinka - Fayzobod
Номер заявки: 000000050672
Вид заявки: Заправка принтера*
Телефон инициатора: 977059303
Инициатор: Захид
Тема заявки: Заправка принтера
Задача (сокр): Заправка принтера",14.04.2023 11:50,5057169611,14.04.2023 16:10,,,,3,
309,14.04.2023 11:53,821636275,202099756,"Заказчик: Korzinka - Alayskiy
Номер заявки: 000000050677
Вид заявки: Заправка принтера*
Телефон инициатора: 946199345
Инициатор: Abdusattor
Тема заявки: Не работает принтер 3в1 Canon
Задача (сокр): Не работает принтер 3в1 Canon",14.04.2023 18:58,432066117,14.04.2023 19:01,,,,3,
310,14.04.2023 14:44,5195792294,203608943,"переехали, на Малой КОЛЬЦЕВОЙ
Canon 3010-1 (возможно будут еще)

 Ахмедова Шаира дополнил(а) заявку...
на 17,04",17.04.2023 10:50,5057169611,17.04.2023 13:28,,,,3,
311,14.04.2023 19:51,821636275,202099756,Problema: Smart - Markaz-1.50699. Заправка принтера*. 946777746. Акбаров Отабек. Заявка на заправку Принтера Korzinka,15.04.2023 11:42,432066117,15.04.2023 11:42,,,,3,
312,15.04.2023 11:19,821636275,202099756,"Заказчик: Korzinka - Mashhadiy
Номер заявки: 000000050722
Вид заявки: Заправка принтера*
Телефон инициатора: 990373521
Инициатор: Каньязов Темур
Тема заявки: Некорректная работа принтера
Задача (сокр): Некорректная работа принтера. Долго думает перед печатью",15.04.2023 11:42,432066117,15.04.2023 12:00,,,,3,
313,15.04.2023 15:40,821636275,202099756,"Заказчик: Korzinka - Amore Mio
Номер заявки: 000000050728
Вид заявки: Заправка принтера*
Телефон инициатора: 994845210
Инициатор: Каримова Севара
Тема заявки: заправка принтера
Задача (сокр): в комнате товароведа надо заправит принтеру .",15.04.2023 15:41,432066117,15.04.2023 17:03,,,,3,
314,16.04.2023 07:15,821636275,202099756,"Заказчик: Smart - Darhon
Номер заявки: 000000050734
Вид заявки: Заправка принтера*
Телефон инициатора: 909945989
Инициатор: Каримжон
Тема заявки: Заправка принтера
Задача (сокр): Заправка принтера",16.04.2023 07:16,821636275,16.04.2023 10:52,,,,3,
315,16.04.2023 07:16,821636275,202099756,"Заказчик: Korzinka - Qoratosh
Номер заявки: 000000050737
Вид заявки: Заправка принтера*
Телефон инициатора: 998530908
Инициатор: Дилафруз
Тема заявки: В  комнате завмага заправит картридж
Задача (сокр): В  комнате завмага заправит картридж",16.04.2023 07:17,821636275,16.04.2023 10:52,,,,3,
316,16.04.2023 20:26,5195792294,300974584,"canon 3010-1
Canon 426 -4",16.04.2023 22:26,596759592,17.04.2023 09:24,,,,3,
317,16.04.2023 20:30,5195792294,202036604,"Canon LBP 6020-3
HP Loser Jet Pro 150-1
Canon MF 4410-1
Canon MF 3010-1
Canon MF 211-1
Canon LBP 6030-1",16.04.2023 22:26,596759592,17.04.2023 12:03,,,,3,
318,17.04.2023 08:28,821636275,202099756,"Заказчик: Korzinka - Markaz-6
Номер заявки: 000000050766
Вид заявки: Заправка принтера*
Телефон инициатора: 998199646
Инициатор: Комилжон Ходжибаев
Тема заявки: Заправить принтера
Задача (сокр): Добрый день!

Заправить картридж принтера.Комната админа и ст кассира.",17.04.2023 08:28,821636275,17.04.2023 09:55,,,,3,
319,17.04.2023 08:45,821636275,202099756,"Заказчик: Korzinka - Yunusobod
Номер заявки: 000000050768
Вид заявки: Заправка принтера*
Телефон инициатора: 958848497
Инициатор: наргиза
Тема заявки: Заправка
Задача (сокр): Заправка притера очень срочно",17.04.2023 08:54,5057169611,17.04.2023 10:45,,,,3,
320,17.04.2023 09:06,5195792294,300071434,"Новза
canon - забрать принтер на ремонт
epson l 364 -запарвка
930013038 Камилла",17.04.2023 15:27,301781583,17.04.2023 15:28,,,,3,
321,17.04.2023 09:13,5195792294,203146221,HP 404,18.04.2023 12:18,563934644,18.04.2023 18:22,,,,3,
322,17.04.2023 09:15,5195792294,30692105,canon mf734 w,18.04.2023 01:27,563934644,18.04.2023 12:10,,,,3,
323,17.04.2023 09:31,5195792294,303420259,"Заявка с четверга 
canon 3010-3",17.04.2023 09:37,563934644,17.04.2023 17:18,,,,3,
324,17.04.2023 09:50,5195792294,308409400,"Canon mf 3010

 Ахмедова Шаира дополнил(а) заявку...
клиент ждет до обеда!!

 Собитов Рахматилла дополнил(а) заявку...
.",18.04.2023 12:18,563934644,18.04.2023 18:22,,,,3,
325,17.04.2023 09:53,821636275,202099756,"Заказчик: Smart - Darhon
Номер заявки: 000000050772
Вид заявки: Заправка принтера*
Телефон инициатора: 909945989
Инициатор: Каримжон
Тема заявки: Заправка принтера
Задача (сокр): Заправка принтера",17.04.2023 09:54,821636275,17.04.2023 10:34,,,,3,
326,17.04.2023 09:54,5195792294,307829948,"Hp m436 , canon mf 113w, hp lj pro m15  Hp m203dn",18.04.2023 10:18,596759592,18.04.2023 12:16,,,,3,
327,17.04.2023 10:09,5195792294,304361079,"Canon 443-2 нов картриджа
canon mf 3010-2",18.04.2023 08:17,432066117,18.04.2023 11:00,,,,3,
328,17.04.2023 10:09,1044166,201199023,"Canon MF 3010-1, (заправка +замена барабана.)
Canon 2900-1 ( заправка)",17.04.2023 12:18,563934644,17.04.2023 17:18,,,,3,
329,17.04.2023 10:17,5195792294,200638670,"Головной
Сanon mf 3010 2 этаж
Сanon 264",17.04.2023 12:18,563934644,17.04.2023 17:18,,,,3,
330,17.04.2023 10:33,821636275,202099756,"Заказчик: Korzinka - Bektemir
Номер заявки: 000000050781
Вид заявки: Заправка принтера*
Телефон инициатора: 935509880
Инициатор: Нурсултан
Тема заявки: Заправка принера у менеджера.
Задача (сокр): Заправка принера у менеджера.",17.04.2023 10:33,821636275,17.04.2023 13:34,,,,3,
331,17.04.2023 10:46,5195792294,305013042,"1. EPSON M105. Жалобы: систематически зажевывает бумагу / захватывает 2, а не 1 лист. *Принтер старый и запчасти нам говорили, что на него нет. Нам нужен совет вашего мастера - чинить или купить новый.
2. EPSON Д14150. При печати пачкает бумагу. Хотя делали  разные виды чисток (те, что предоставляет сама программа). Внутрь принтера мы, конечно, не открывали и не чистили)

 Ахмедова Шаира дополнил(а) заявку...
https://maps.google.com/maps?q=41.291540,69.284120&ll=41.291540,69.284120&z=16",19.04.2023 18:35,432066117,19.04.2023 18:39,,,,3,
332,17.04.2023 10:54,5195792294,202990646,"Hp 1010 3шт 
hp 1005
canon 211",18.04.2023 08:40,5057169611,18.04.2023 17:03,,,,3,
333,17.04.2023 11:05,5195792294,305668636,Принтер EPSON 3110 - печатает только черный и желтый цвет,18.04.2023 17:51,563934644,18.04.2023 18:22,,,,3,
334,17.04.2023 11:18,5195792294,304927836,Epson l355 все цвета,18.04.2023 13:51,432066117,18.04.2023 16:27,,,,3,
335,17.04.2023 11:24,5195792294,306827563,Canon 443 -8 (ремонт картриджей),18.04.2023 10:32,596759592,18.04.2023 10:34,,,,3,
336,17.04.2023 11:29,5195792294,300790252,l3101- все цвета,18.04.2023 08:16,432066117,18.04.2023 13:49,,,,3,
337,17.04.2023 11:47,5195792294,206996319,Epson l 1300-1,19.04.2023 10:40,563934644,19.04.2023 13:12,,,"Мастер Собитов Рахматилла принял заявку 19.04.2023 08:11.
 19.04.2023 08:12отказался от выполнения",3,
338,17.04.2023 12:54,821636275,202099756,"Заказчик: Korzinka - Setor
Номер заявки: 000000050796
Вид заявки: Заправка принтера*
Телефон инициатора: 946564764
Инициатор: Боситхон
Тема заявки: Заправка принтера*комната заммаг
Задача (сокр): можете  присти 1шт запаска дополнитилний катреж",17.04.2023 12:54,821636275,17.04.2023 17:07,,,,3,
339,17.04.2023 13:07,821636275,202099756,"Заказчик: Korzinka - Sofiya
Номер заявки: 000000050799
Вид заявки: Заправка принтера*
Телефон инициатора: 970760686
Инициатор: Камолиддин
Тема заявки: Ремонт принтер и заправка.
Задача (сокр): Зав склад хонасида принтер ишламаяпти илтимос тугирлаб берсангиз.ва бошк катрежларни заправка килиш лозим.",17.04.2023 13:27,5057169611,17.04.2023 17:02,,,,3,
340,17.04.2023 14:01,5195792294,202026158,Canon MF 3010-1/Canon LBP 3000-1 заправить,18.04.2023 01:24,563934644,18.04.2023 12:10,,,,3,
341,17.04.2023 16:11,5195792294,305440557,отвезти принтер после ремонта,18.04.2023 15:12,301781583,18.04.2023 15:13,,,,3,
342,18.04.2023 10:06,821636275,202099756,"Заказчик: Операционный отдел
Номер заявки: 000000050825
Вид заявки: Заправка принтера*
Телефон инициатора: 911362694
Инициатор: Нигора
Тема заявки: Заправка принтера
Задача (сокр): Заправка принтера",18.04.2023 10:27,5057169611,18.04.2023 11:17,,,,3,
343,18.04.2023 10:21,5195792294,305506805,canon  MF231,18.04.2023 12:15,432066117,18.04.2023 18:59,,,,3,
344,18.04.2023 11:27,5195792294,307735227,"для IT отдела установка Office программ

 Ахмедова Шаира дополнил(а) заявку...
Перехали:
https://maps.google.com/maps?q=41.328697,69.304669&ll=41.328697,69.304669&z=16",18.04.2023 14:19,685927410,18.04.2023 20:57,,,,3,
345,18.04.2023 11:58,5195792294,207324607,canon MF 742,18.04.2023 17:46,596759592,18.04.2023 17:48,,,,3,
346,18.04.2023 12:29,5195792294,309776769,canon 453,19.04.2023 08:16,563934644,19.04.2023 13:12,,,,3,
347,18.04.2023 13:35,821636275,202099756,"Заказчик: Korzinka - Nazarbek
Номер заявки: 000000050843
Вид заявки: Заправка принтера*
Телефон инициатора: 946632023
Инициатор: Мария
Тема заявки: Заправка принтера
Задача (сокр): надо заправить принтеры в маркете",18.04.2023 13:35,821636275,18.04.2023 17:08,,,,3,
348,18.04.2023 14:10,5195792294,308073402,Текст клиента: Нужна заправка принтера  НР М211DW. возможно замена барабана . он печатает но очень бледнооо,19.04.2023 14:54,563934644,19.04.2023 17:13,,,,3,
349,18.04.2023 15:44,5195792294,306214930,"1.  Принтер МФУ 3в1 (HP Laser Jet MFP M141w) - заправка
2. МФУ Canon imageRUNNER ADVANCE DX C3822i MFP",25.04.2023 18:39,563934644,25.04.2023 18:39,,,,3,
350,18.04.2023 15:54,5195792294,303781159,принтер HP1536dnf MFP,19.04.2023 13:27,5057169611,19.04.2023 16:12,,,,3,
351,18.04.2023 16:38,5195792294,200838003,canon mf 211-1 заправка,19.04.2023 09:49,596759592,19.04.2023 10:45,,,,3,
352,18.04.2023 16:39,5195792294,200838003,проблема с ПК-2 ( 1 ноутбук),19.04.2023 10:37,685927410,19.04.2023 10:47,,,,3,
